Ciment,Eau,Superplastifiant,Granulats_grossiers,Granulats_fins,G/S,E/C,Age,Resistance
540.0,162.0,2.5,1040.0,676.0,1.5384615384615385,0.3,28,79.99
540.0,162.0,2.5,1055.0,676.0,1.5606508875739644,0.3,28,61.89
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,28,39.29
380.0,228.0,0.0,932.0,670.0,1.391044776119403,0.6,90,52.91
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,180,42.62
380.0,228.0,0.0,932.0,670.0,1.391044776119403,0.6,365,52.52
380.0,228.0,0.0,932.0,670.0,1.391044776119403,0.6,270,53.3
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,7,38.6
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,270,42.13
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,90,42.23
380.0,228.0,0.0,932.0,670.0,1.391044776119403,0.6,180,53.1
349.0,192.0,0.0,1047.0,806.9,1.2975585574420623,0.5501432664756447,3,15.05
475.0,228.0,0.0,932.0,594.0,1.569023569023569,0.48,365,41.93
310.0,192.0,0.0,971.0,850.6,1.1415471431930402,0.6193548387096774,3,9.87
485.0,146.0,0.0,1120.0,800.0,1.4,0.30103092783505153,28,71.99
531.3,141.8,28.2,852.1,893.7,0.9534519413673492,0.26689252776209305,3,41.3
531.3,141.8,28.2,852.1,893.7,0.9534519413673492,0.26689252776209305,7,46.9
531.3,141.8,28.2,852.1,893.7,0.9534519413673492,0.26689252776209305,28,56.4
531.3,141.8,28.2,852.1,893.7,0.9534519413673492,0.26689252776209305,56,58.8
531.3,141.8,28.2,852.1,893.7,0.9534519413673492,0.26689252776209305,91,59.2
376.0,214.6,0.0,1003.5,762.4,1.3162381951731374,0.5707446808510638,3,16.28
376.0,214.6,0.0,1003.5,762.4,1.3162381951731374,0.5707446808510638,14,25.62
376.0,214.6,0.0,1003.5,762.4,1.3162381951731374,0.5707446808510638,28,31.97
376.0,214.6,0.0,1003.5,762.4,1.3162381951731374,0.5707446808510638,56,36.3
376.0,214.6,0.0,1003.5,762.4,1.3162381951731374,0.5707446808510638,100,43.06
500.0,140.0,4.0,966.0,853.0,1.1324736225087926,0.28,28,67.57
451.0,165.0,11.3,1030.0,745.0,1.3825503355704698,0.36585365853658536,28,78.8
516.0,162.0,8.2,801.0,802.0,0.9987531172069826,0.313953488372093,28,41.37
520.0,170.0,5.2,855.0,855.0,1.0,0.3269230769230769,28,60.28
528.0,185.0,6.9,920.0,720.0,1.2777777777777777,0.3503787878787879,28,56.83
520.0,175.0,5.2,870.0,805.0,1.0807453416149069,0.33653846153846156,28,51.02
500.1,200.0,3.0,1124.4,613.2,1.8336594911937378,0.3999200159968006,28,44.13
405.0,175.0,0.0,1120.0,695.0,1.6115107913669064,0.43209876543209874,28,52.3
516.0,162.0,8.3,801.0,802.0,0.9987531172069826,0.313953488372093,28,41.37
475.0,162.0,9.5,1044.0,662.0,1.5770392749244713,0.3410526315789474,28,58.52
500.0,151.0,9.0,1033.0,655.0,1.5770992366412213,0.302,28,69.84
436.0,218.0,0.0,838.4,719.7,1.164929831874392,0.5,28,23.85
289.0,192.0,0.0,913.2,895.3,1.0199932983357536,0.6643598615916955,90,32.07
289.0,192.0,0.0,913.2,895.3,1.0199932983357536,0.6643598615916955,3,11.65
393.0,192.0,0.0,940.6,785.6,1.1973014256619146,0.48854961832061067,3,19.2
393.0,192.0,0.0,940.6,785.6,1.1973014256619146,0.48854961832061067,90,48.85
393.0,192.0,0.0,940.6,785.6,1.1973014256619146,0.48854961832061067,28,39.6
480.0,192.0,0.0,936.2,712.2,1.314518393709632,0.4,28,43.94
480.0,192.0,0.0,936.2,712.2,1.314518393709632,0.4,7,34.57
480.0,192.0,0.0,936.2,712.2,1.314518393709632,0.4,90,54.32
480.0,192.0,0.0,936.2,712.2,1.314518393709632,0.4,3,24.4
333.0,192.0,0.0,931.2,842.6,1.1051507239496796,0.5765765765765766,3,15.62
255.0,192.0,0.0,889.8,945.0,0.9415873015873015,0.7529411764705882,90,21.86
255.0,192.0,0.0,889.8,945.0,0.9415873015873015,0.7529411764705882,7,10.22
289.0,192.0,0.0,913.2,895.3,1.0199932983357536,0.6643598615916955,7,14.6
255.0,192.0,0.0,889.8,945.0,0.9415873015873015,0.7529411764705882,28,18.75
333.0,192.0,0.0,931.2,842.6,1.1051507239496796,0.5765765765765766,28,31.97
333.0,192.0,0.0,931.2,842.6,1.1051507239496796,0.5765765765765766,7,23.4
289.0,192.0,0.0,913.2,895.3,1.0199932983357536,0.6643598615916955,28,25.57
333.0,192.0,0.0,931.2,842.6,1.1051507239496796,0.5765765765765766,90,41.68
